S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
S&P 500 Index,.SPX,,3465.39 c,27.66,23.95,--,--,--,--,2.12,--,3.50,--,--,"30,442,046,080,023.00"
Apple Inc,AAPL.OQ,,115.04 c,38.72,35.40,2.97,USD,0.82,USD,0.71,55.92,21.74,7.56,--,"1,967,475,741,440.00"
Microsoft Corp,MSFT.OQ,,216.23 c,37.52,33.33,5.76,USD,2.24,USD,1.04,40.14,13.82,11.43,--,"1,635,309,878,521.34"
Amazon.com Inc,AMZN.OQ,,3204.4 c,139.37,100.67,22.99,USD,--,--,--,21.95,25.86,5.72,--,"1,605,050,797,664.40"
Alphabet Inc,GOOGL.OQ,,1632.98 c,33.22,36.60,49.16,USD,--,--,--,18.12,5.53,6.88,--,"1,113,369,334,208.56"
Alphabet Inc,GOOG.OQ,,1641 c,33.22,36.79,49.16,USD,--,--,--,18.12,5.53,6.88,--,"1,113,369,334,208.56"
Facebook Inc,FB.OQ,,284.79 c,44.31,35.20,6.43,USD,--,--,--,19.96,8.03,11.48,--,"811,314,256,808.22"
Berkshire Hathaway Inc,BRKb.N,,212.71 c,6.41,23.00,"49,828.45",USD,--,--,--,21.05,1.20,2.00,--,"508,181,141,314.86"
Visa Inc,V.N,,198.01 c,37.24,39.56,5.32,USD,1.20,USD,0.61,35.17,12.15,18.34,--,"421,338,613,795.29"
Walmart Inc,WMT.N,,143.85 c,27.72,26.94,5.19,USD,2.16,USD,1.50,20.22,5.46,0.78,--,"407,635,360,131.30"
Johnson & Johnson,JNJ.N,,145.24 c,25.79,18.13,5.63,USD,4.04,USD,2.78,25.36,6.43,4.66,--,"382,391,281,509.00"
Procter & Gamble Co,PG.N,,142.38 c,28.70,25.61,4.96,USD,3.16,USD,2.22,27.80,7.59,4.98,--,"353,046,287,045.34"
NVIDIA Corp,NVDA.OQ,,543.61 c,120.15,60.00,4.52,USD,0.64,USD,0.12,25.95,27.48,30.72,--,"335,407,370,000.00"
Mastercard Inc,MA.N,,329.61 c,41.63,49.31,7.92,USD,1.60,USD,0.49,143.36,55.99,19.54,--,"329,959,675,667.97"
JPMorgan Chase & Co,JPM.N,,103.81 c,9.68,14.07,10.72,USD,3.60,USD,3.47,--,1.21,2.74,--,"316,371,821,795.47"
UnitedHealth Group Inc,UNH.N,,330.6 c,23.08,19.76,14.33,USD,5.00,USD,1.51,--,5.45,1.30,--,"314,181,002,917.20"
Home Depot Inc,HD.N,,283 c,27.62,24.88,10.25,USD,6.00,USD,2.12,--,--,2.76,--,"304,636,910,462.00"
