
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="return3mo",="return3mo",="return3mo",="return3mo",="returnY2D"

="covid_exposure_std",="1.500***",="-0.324",="-0.238",="-0.451",=""
="",="(0.458)",="(0.351)",="(0.390)",="(0.762)",=""

="mean_covid_exposure_std",="",="",="",="",="-1.409*"
="",="",="",="",="",="(0.755)"

="_cons",="-7.836*",="",="",="",="34.06***"
="",="(4.015)",="",="",="",="(8.193)"

="N",="1914",="1914",="1914",="1911",="479"
="R-sq",="0.003",="0.513",="0.536",="0.592",="0.007"
="quarterFE",="no",="yes",="yes",="yes",="n/a"
="sectorFE",="no",="no",="yes",="n/a",="n/a"
="firmFE",="no",="no",="no",="yes",="n/a"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
